customer_id,signup_date,age,gender,country,city,acquisition_source
1,2024-01-26,65,Female,India,Mumbai,Paid
2,2024-04-14,61,Male,Singapore,Singapore,Organic
3,2024-04-05,31,Male,India,Delhi,Paid
4,2025-03-05,32,Female,USA,Seattle,Referral
5,2024-06-12,62,Female,India,Bengaluru,Referral
6,2024-08-08,39,Male,Singapore,Singapore,Email
7,2025-01-02,40,Female,India,Delhi,Email
8,2024-05-07,42,Male,USA,Seattle,Referral
9,2025-01-05,54,Male,USA,Seattle,Organic
10,2025-11-08,32,Female,India,Delhi,Paid
11,2025-01-24,35,Female,India,Bengaluru,Paid
12,2024-12-29,31,Female,UAE,Dubai,Paid
13,2024-09-07,28,Female,USA,Austin,Referral
14,2024-08-12,61,Female,USA,New York,Paid
15,2024-11-19,43,Female,India,Delhi,Paid
16,2024-11-18,31,Female,USA,Austin,Email
17,2024-09-28,26,Male,Singapore,Singapore,Email
18,2025-02-12,41,Male,USA,New York,Email
19,2024-02-18,25,Male,India,Mumbai,Email
20,2024-03-06,42,Female,USA,Seattle,Email
21,2024-09-14,53,Male,USA,Seattle,Organic
22,2024-09-30,59,Female,USA,New York,Referral
23,2024-06-10,47,Male,UK,Manchester,Paid
24,2024-04-18,58,Female,USA,Seattle,Paid
25,2025-01-17,28,Male,Singapore,Singapore,Email
26,2024-04-24,41,Female,India,Mumbai,Organic
27,2025-08-03,23,Male,Singapore,Singapore,Organic
28,2024-05-08,26,Female,USA,Seattle,Paid
29,2025-06-24,56,Female,UAE,Dubai,Paid
30,2025-02-12,60,Female,UAE,Abu Dhabi,Email
31,2024-09-10,32,Male,India,Bengaluru,Organic
32,2025-07-21,32,Male,USA,New York,Organic
33,2024-08-22,22,Male,India,Bengaluru,Organic
34,2024-08-31,35,Female,USA,New York,Paid
35,2025-08-13,48,Male,USA,Austin,Email
36,2024-04-06,24,Female,Singapore,Singapore,Email
37,2025-04-23,64,Male,UK,London,Organic
38,2024-12-13,24,Male,UK,London,Paid
39,2025-04-04,26,Female,USA,New York,Referral
40,2024-09-12,22,Female,UK,London,Organic
41,2024-01-16,23,Male,USA,New York,Email
42,2025-05-07,31,Female,UK,London,Paid
43,2024-01-03,42,Female,UK,Manchester,Referral
44,2025-12-14,64,Female,UK,London,Paid
45,2024-08-10,21,Male,UAE,Abu Dhabi,Organic
46,2025-08-21,48,Male,India,Delhi,Organic
47,2024-03-11,56,Male,Singapore,Singapore,Email
48,2025-08-06,33,Male,India,Delhi,Email
49,2025-08-01,51,Female,USA,Austin,Paid
50,2024-09-01,34,Female,UAE,Dubai,Referral
51,2024-11-19,22,Male,UK,Manchester,Organic
52,2025-07-04,31,Female,India,Mumbai,Referral
53,2024-09-07,41,Female,India,Mumbai,Email
54,2025-12-21,37,Male,USA,Seattle,Referral
55,2024-05-17,34,Male,India,Delhi,Paid
56,2024-10-15,56,Male,UAE,Abu Dhabi,Paid
57,2025-06-01,49,Female,UAE,Dubai,Organic
58,2024-10-10,20,Male,UK,Manchester,Paid
59,2024-06-14,65,Female,UAE,Abu Dhabi,Organic
60,2024-03-18,62,Male,India,Delhi,Referral
61,2025-07-19,27,Female,USA,New York,Organic
62,2025-01-08,20,Female,UAE,Dubai,Paid
63,2024-12-28,53,Female,India,Mumbai,Paid
64,2024-06-30,44,Male,Singapore,Singapore,Referral
65,2025-11-16,65,Male,UK,Manchester,Paid
66,2025-01-26,20,Female,India,Mumbai,Paid
67,2024-12-24,37,Male,UK,London,Organic
68,2025-02-12,39,Female,Singapore,Singapore,Referral
69,2025-10-18,50,Female,UAE,Abu Dhabi,Organic
70,2024-09-24,29,Female,India,Delhi,Organic
71,2025-03-20,40,Female,USA,Austin,Organic
72,2025-08-13,30,Female,UK,London,Email
73,2025-06-16,52,Male,India,Bengaluru,Email
74,2025-11-11,39,Female,India,Delhi,Referral
75,2024-11-12,60,Female,USA,Austin,Email
76,2025-07-21,26,Male,UAE,Abu Dhabi,Email
77,2025-09-22,54,Female,Singapore,Singapore,Organic
78,2024-10-20,31,Female,UAE,Abu Dhabi,Email
79,2025-03-28,61,Male,UK,Manchester,Paid
80,2024-10-17,50,Female,India,Delhi,Paid
81,2024-08-18,30,Male,UAE,Dubai,Organic
82,2025-05-01,57,Male,Singapore,Singapore,Email
83,2024-07-18,63,Female,USA,Austin,Email
84,2024-05-31,59,Male,Singapore,Singapore,Email
85,2024-06-29,62,Female,Singapore,Singapore,Paid
86,2025-04-12,26,Female,India,Bengaluru,Email
87,2025-05-31,45,Female,USA,New York,Email
88,2024-09-22,33,Female,UK,Manchester,Paid
89,2025-03-26,22,Female,UAE,Dubai,Referral
90,2024-11-23,52,Male,UAE,Dubai,Paid
91,2025-01-27,62,Male,Singapore,Singapore,Organic
92,2025-02-21,39,Female,UK,Manchester,Organic
93,2025-03-06,42,Male,Singapore,Singapore,Email
94,2024-12-26,37,Female,India,Kolkata,Paid
95,2024-08-12,35,Female,UK,Manchester,Organic
96,2024-12-10,60,Female,UK,London,Email
97,2025-09-29,52,Male,Singapore,Singapore,Organic
98,2025-10-20,45,Male,India,Kolkata,Paid
99,2024-09-23,42,Female,India,Mumbai,Email
100,2024-12-11,42,Female,UAE,Abu Dhabi,Referral
101,2025-04-26,19,Male,India,Bengaluru,Paid
102,2025-10-29,20,Male,India,Mumbai,Paid
103,2025-09-28,27,Male,India,Mumbai,Email
104,2025-07-31,31,Female,India,Bengaluru,Referral
105,2025-09-12,56,Male,Singapore,Singapore,Referral
106,2025-08-15,19,Female,India,Kolkata,Email
107,2024-03-18,55,Male,Singapore,Singapore,Referral
108,2024-05-03,54,Male,USA,Austin,Email
109,2024-03-11,50,Female,UAE,Dubai,Email
110,2024-04-18,45,Female,UK,Manchester,Paid
111,2024-06-29,64,Female,UK,Manchester,Email
112,2025-08-29,35,Female,UK,London,Organic
113,2025-04-06,33,Female,UAE,Abu Dhabi,Referral
114,2025-05-21,38,Male,India,Kolkata,Paid
115,2024-09-21,39,Female,UAE,Abu Dhabi,Organic
116,2024-07-14,23,Male,USA,Seattle,Email
117,2025-07-22,33,Female,UK,Manchester,Email
118,2024-04-05,36,Male,India,Kolkata,Paid
119,2025-11-10,55,Female,UAE,Abu Dhabi,Referral
120,2025-07-17,39,Female,UK,Manchester,Referral
121,2024-09-14,32,Male,UAE,Dubai,Referral
122,2025-07-02,62,Male,India,Mumbai,Paid
123,2024-10-10,64,Female,UK,London,Paid
124,2024-08-20,41,Male,UAE,Abu Dhabi,Organic
125,2024-05-09,35,Male,USA,New York,Referral
126,2025-10-15,49,Male,Singapore,Singapore,Referral
127,2025-05-05,46,Female,UK,London,Organic
128,2025-05-04,25,Male,UAE,Abu Dhabi,Email
129,2025-08-13,58,Male,India,Mumbai,Paid
130,2024-11-07,23,Male,USA,New York,Email
131,2025-09-02,57,Male,USA,Seattle,Email
132,2025-03-29,37,Female,UK,Manchester,Organic
133,2024-04-11,31,Male,USA,Austin,Organic
134,2024-09-02,29,Male,Singapore,Singapore,Organic
135,2025-04-06,62,Female,UK,Manchester,Organic
136,2024-10-22,63,Female,Singapore,Singapore,Organic
137,2024-09-27,58,Male,Singapore,Singapore,Organic
138,2024-08-18,59,Male,USA,Austin,Paid
139,2024-03-02,28,Female,India,Bengaluru,Email
140,2025-04-24,62,Female,India,Kolkata,Referral
141,2025-07-06,49,Female,USA,New York,Organic
142,2024-11-26,56,Female,UK,London,Organic
143,2025-11-21,54,Male,Singapore,Singapore,Organic
144,2025-04-26,51,Female,Singapore,Singapore,Paid
145,2025-03-22,58,Female,USA,New York,Email
146,2025-02-22,39,Female,UAE,Dubai,Paid
147,2025-02-25,62,Female,UAE,Abu Dhabi,Email
148,2024-02-07,47,Male,USA,Austin,Referral
149,2024-04-28,43,Male,UAE,Abu Dhabi,Email
150,2024-07-11,51,Female,India,Kolkata,Email
151,2024-07-27,35,Male,India,Bengaluru,Email
152,2024-05-04,19,Male,UK,London,Referral
153,2024-01-15,53,Female,USA,New York,Paid
154,2025-04-17,25,Male,India,Kolkata,Referral
155,2025-12-23,35,Female,USA,Austin,Email
156,2025-04-12,53,Male,Singapore,Singapore,Paid
157,2025-06-04,65,Male,USA,New York,Referral
158,2024-12-14,50,Female,UK,London,Referral
159,2025-08-24,55,Female,UAE,Dubai,Email
