order_id,customer_id,order_date,campaign_id,order_value,status
1,6722,2024-08-01,16,2606.82,Completed
2,9332,2025-12-05,2,603.9,Completed
3,9128,2024-10-12,20,413.22,Completed
4,2161,2025-07-19,25,2315.31,Completed
5,4692,2024-11-30,30,437.86,Completed
6,294,2024-01-22,28,1834.07,Completed
7,2823,2025-04-28,39,1444.14,Completed
8,6913,2025-10-08,21,1234.94,Completed
9,6533,2024-01-22,40,536.99,Completed
10,3730,2025-05-21,11,922.94,Returned
11,3511,2025-06-21,36,1830.93,Completed
12,2689,2025-12-03,14,744.04,Returned
13,9859,2025-08-03,38,2321.44,Completed
14,5211,2024-03-23,12,3121.68,Returned
15,841,2025-06-12,17,2282.6,Completed
16,8055,2025-06-11,17,909.47,Completed
17,6557,2025-10-25,1,2880.92,Returned
18,8319,2025-08-18,23,2603.09,Completed
19,8218,2025-05-25,14,645.75,Completed
20,5350,2025-08-31,28,2007.23,Completed
21,720,2025-09-12,30,3184.15,Completed
22,5370,2024-04-28,28,3513.56,Completed
23,5263,2024-12-06,22,1024.36,Completed
24,4267,2025-09-12,39,248.4,Completed
25,7999,2025-06-15,32,58.51,Completed
26,9431,2024-08-12,9,243.18,Completed
27,4959,2025-06-30,8,2926.79,Completed
28,3766,2024-01-11,33,763.31,Completed
29,3606,2024-06-03,7,1718.23,Completed
30,5980,2025-08-02,37,2940.94,Completed
31,9422,2025-02-09,35,2564.34,Completed
32,4530,2025-04-16,28,1968.16,Completed
33,7860,2025-04-23,3,3557.08,Completed
34,8941,2024-03-24,23,96.34,Completed
35,2872,2024-12-08,21,4814.63,Completed
36,3675,2024-05-14,2,2889.54,Completed
37,1879,2024-06-21,23,3991.23,Completed
38,6287,2025-07-09,15,1597.2,Returned
39,7222,2024-04-22,30,1636.31,Completed
40,4693,2025-09-20,4,2569.08,Returned
41,4757,2024-06-11,26,919.28,Completed
42,319,2024-09-04,21,1200.57,Completed
43,383,2025-05-08,3,1615.96,Completed
44,9615,2025-05-11,35,521.16,Completed
45,8442,2025-10-01,6,2647.87,Completed
46,6049,2025-11-06,17,2027.47,Completed
47,4632,2025-11-24,29,1722.08,Completed
48,95,2024-05-03,25,1252.1,Completed
49,7417,2024-03-28,25,2261.52,Returned
50,477,2024-03-12,39,763.73,Returned
51,9100,2025-01-09,8,4669.84,Completed
52,5193,2024-05-13,27,673.25,Completed
53,1628,2024-12-29,11,315.92,Completed
54,8198,2024-06-06,8,3177.32,Completed
55,3158,2025-05-16,7,1146.81,Completed
56,5740,2024-08-06,6,1945.07,Returned
57,1633,2024-10-24,36,4230.72,Returned
58,8403,2024-04-03,22,1928.14,Completed
59,894,2024-02-18,7,2331.34,Completed
60,5258,2024-05-11,4,1190.76,Completed
61,3026,2024-06-21,31,3313.53,Completed
62,219,2025-08-13,29,1643.58,Completed
63,7238,2025-06-16,32,583.33,Completed
64,6565,2024-07-04,28,2555.89,Completed
65,2232,2025-09-24,11,999.2,Completed
66,6554,2024-10-19,5,2552.82,Completed
67,5454,2025-11-12,2,2421.21,Completed
68,8811,2024-12-01,15,2485.03,Completed
69,3103,2025-09-28,27,2726.24,Completed
70,546,2024-01-07,31,2024.13,Completed
71,2630,2024-03-08,28,403.5,Completed
72,6506,2025-10-22,13,977.44,Returned
73,6912,2024-02-21,22,4329.3,Completed
74,6870,2025-10-12,33,1636.42,Completed
75,9411,2025-06-03,36,4442.01,Completed
76,5211,2024-10-19,30,3574.75,Completed
77,8853,2025-02-28,24,3138.0,Completed
78,1163,2025-03-12,21,2539.94,Returned
79,9249,2024-03-24,35,191.66,Returned
80,739,2024-11-29,36,2152.82,Returned
81,6584,2025-07-31,20,1246.83,Completed
82,3685,2025-10-31,15,2323.29,Completed
83,4680,2024-11-28,33,853.88,Returned
84,5274,2024-09-21,14,3210.14,Completed
85,321,2024-06-20,14,3626.91,Completed
86,9509,2025-02-04,5,1404.36,Completed
87,9977,2024-06-14,19,1916.07,Completed
88,5369,2024-06-09,38,1144.57,Completed
89,8693,2024-04-22,2,26.12,Completed
90,7185,2024-10-27,30,1399.32,Completed
91,5300,2025-04-11,1,187.27,Completed
92,4469,2025-05-25,39,1477.7,Returned
93,4886,2025-01-23,7,2565.72,Completed
94,9987,2025-11-21,30,1554.87,Completed
95,8614,2025-12-13,19,3189.17,Completed
96,9701,2024-12-22,38,1897.31,Completed
97,9378,2025-01-08,25,498.95,Completed
98,5912,2025-08-04,38,284.3,Completed
99,2242,2025-10-17,3,1187.69,Returned
100,7038,2024-10-21,2,1422.06,Completed
101,8870,2025-09-15,32,1612.53,Completed
102,7102,2025-01-27,34,2232.83,Completed
103,4641,2025-04-16,7,101.84,Returned
104,9840,2025-09-26,10,1837.35,Completed
105,151,2024-09-14,25,5965.29,Completed
106,7572,2025-10-12,24,512.76,Completed
107,120,2025-02-04,29,1414.31,Completed
108,5030,2025-07-25,14,1111.12,Completed
109,957,2024-08-01,28,963.77,Completed
110,4261,2024-09-19,27,1889.29,Completed
111,8871,2025-12-12,21,421.58,Completed
112,322,2024-10-03,18,778.71,Completed
113,4165,2025-11-10,3,2286.04,Returned
114,8543,2024-06-08,20,979.29,Completed
115,5498,2025-12-10,24,1877.1,Completed
116,5892,2025-12-25,9,2127.8,Returned
117,5822,2024-07-14,12,290.94,Returned
118,4715,2024-01-23,12,2043.36,Completed
119,2897,2024-02-21,17,990.44,Completed
120,8035,2025-10-16,22,2051.65,Returned
121,7118,2025-07-03,21,3665.71,Returned
122,9081,2025-05-16,37,923.82,Completed
123,4397,2025-10-14,20,2142.9,Returned
124,1876,2024-01-22,40,2263.96,Completed
125,8090,2025-09-01,20,1757.85,Returned
126,6099,2025-06-24,36,132.74,Returned
127,7475,2024-03-22,1,3452.15,Completed
128,2764,2024-07-09,17,102.73,Completed
129,6616,2025-05-08,40,1720.64,Completed
130,9907,2025-12-28,20,3601.22,Completed
131,4038,2024-12-14,9,2191.54,Completed
132,6713,2024-07-28,17,51.7,Completed
133,4585,2024-08-02,26,304.13,Returned
134,1092,2025-07-04,37,1791.93,Completed
135,1559,2025-01-02,10,2592.47,Completed
136,5864,2024-12-16,2,2237.6,Returned
137,9623,2024-07-15,18,2438.24,Completed
138,2192,2025-03-27,2,1636.62,Completed
139,2648,2025-05-10,29,1924.91,Completed
140,9677,2024-10-17,13,3532.28,Returned
141,4869,2024-03-07,10,220.44,Completed
142,3418,2024-10-29,18,905.58,Completed
143,5435,2024-12-20,29,2620.62,Returned
144,8546,2025-06-16,27,461.32,Completed
145,2982,2025-04-01,29,2683.36,Returned
146,7813,2024-12-13,1,2149.21,Completed
147,550,2024-01-13,20,2195.38,Completed
148,3454,2024-11-04,36,622.99,Completed
149,3931,2024-07-22,35,4492.79,Completed
150,9925,2025-05-06,37,3723.88,Completed
151,4058,2025-09-02,11,2629.84,Returned
152,6862,2024-08-23,26,2139.26,Completed
153,1596,2024-09-22,22,1641.24,Completed
154,7477,2024-12-30,1,2174.54,Returned
155,4429,2025-02-10,32,2499.14,Completed
156,7505,2024-08-19,23,1231.58,Completed
157,4948,2024-11-29,39,1530.8,Completed
158,7979,2024-02-07,26,2534.98,Returned
159,4476,2025-07-15,37,702.04,Returned
160,3354,2025-08-24,33,889.05,Completed
161,7757,2024-12-12,14,644.18,Completed
162,8433,2025-04-03,27,2516.8,Completed
163,54,2024-03-05,30,153.55,Completed
164,1879,2024-05-26,36,3853.11,Completed
