order_id,payment_method,amount
1,UPI,2606.82
2,UPI,603.9
3,Wallet,413.22
4,PayPal,2315.31
5,Wallet,437.86
6,Card,1834.07
7,PayPal,1444.14
8,Card,1234.94
9,UPI,536.99
10,Card,922.94
11,UPI,1830.93
12,Wallet,744.04
13,Wallet,2321.44
14,Card,3121.68
15,UPI,2282.6
16,Card,909.47
17,Wallet,2880.92
18,UPI,2603.09
19,Card,645.75
20,UPI,2007.23
21,Wallet,3184.15
22,Wallet,3513.56
23,PayPal,1024.36
24,Wallet,248.4
25,PayPal,58.51
26,UPI,243.18
27,Card,2926.79
28,Wallet,763.31
29,Wallet,1718.23
30,UPI,2940.94
31,Card,2564.34
32,Wallet,1968.16
33,Card,3557.08
34,Wallet,96.34
35,UPI,4814.63
36,UPI,2889.54
37,Wallet,3991.23
38,UPI,1597.2
39,Wallet,1636.31
40,Card,2569.08
41,Wallet,919.28
42,Card,1200.57
43,Card,1615.96
44,Card,521.16
45,PayPal,2647.87
46,PayPal,2027.47
47,UPI,1722.08
48,UPI,1252.1
49,Wallet,2261.52
50,UPI,763.73
51,UPI,4669.84
52,Card,673.25
53,UPI,315.92
54,Card,3177.32
55,Wallet,1146.81
56,Wallet,1945.07
57,PayPal,4230.72
58,PayPal,1928.14
59,Wallet,2331.34
60,UPI,1190.76
61,UPI,3313.53
62,Wallet,1643.58
63,Card,583.33
64,Wallet,2555.89
65,UPI,999.2
66,Wallet,2552.82
67,UPI,2421.21
68,Wallet,2485.03
69,Wallet,2726.24
70,Wallet,2024.13
71,PayPal,403.5
72,Card,977.44
73,Wallet,4329.3
74,Card,1636.42
75,PayPal,4442.01
76,PayPal,3574.75
77,Card,3138.0
78,Wallet,2539.94
79,UPI,191.66
80,Card,2152.82
81,UPI,1246.83
82,PayPal,2323.29
83,Wallet,853.88
84,Card,3210.14
85,PayPal,3626.91
86,UPI,1404.36
87,Wallet,1916.07
88,UPI,1144.57
89,Card,26.12
90,Wallet,1399.32
91,UPI,187.27
92,PayPal,1477.7
93,UPI,2565.72
94,UPI,1554.87
95,PayPal,3189.17
96,Card,1897.31
97,PayPal,498.95
98,Card,284.3
99,Card,1187.69
100,Wallet,1422.06
101,PayPal,1612.53
102,PayPal,2232.83
103,Wallet,101.84
104,Wallet,1837.35
105,Card,5965.29
106,UPI,512.76
107,Wallet,1414.31
108,PayPal,1111.12
109,Card,963.77
110,Card,1889.29
111,Card,421.58
112,UPI,778.71
113,PayPal,2286.04
114,Wallet,979.29
115,UPI,1877.1
116,Wallet,2127.8
117,Card,290.94
118,Card,2043.36
119,Card,990.44
120,UPI,2051.65
121,Card,3665.71
122,Card,923.82
123,Wallet,2142.9
124,Card,2263.96
125,Card,1757.85
126,UPI,132.74
127,Wallet,3452.15
128,Card,102.73
129,Card,1720.64
130,Wallet,3601.22
131,PayPal,2191.54
132,Card,51.7
133,Wallet,304.13
134,UPI,1791.93
135,UPI,2592.47
136,UPI,2237.6
137,Wallet,2438.24
138,UPI,1636.62
139,Wallet,1924.91
140,Wallet,3532.28
141,Wallet,220.44
142,UPI,905.58
143,UPI,2620.62
144,UPI,461.32
145,Card,2683.36
146,Card,2149.21
147,Wallet,2195.38
148,Wallet,622.99
149,Card,4492.79
150,PayPal,3723.88
151,Card,2629.84
152,Card,2139.26
153,Wallet,1641.24
154,PayPal,2174.54
155,Card,2499.14
156,UPI,1231.58
157,PayPal,1530.8
158,Card,2534.98
159,Wallet,702.04
160,UPI,889.05
161,Wallet,644.18
162,UPI,2516.8
163,PayPal,153.55
164,PayPal,3853.11
165,PayPal,2208.9
166,PayPal,2156.13
