order_id,return_reason
10,Changed Mind
12,Damaged
14,Changed Mind
17,Wrong Size
38,Wrong Size
40,Wrong Size
49,Changed Mind
50,Wrong Size
56,Changed Mind
57,Damaged
72,Damaged
78,Changed Mind
79,Damaged
80,Wrong Size
83,Wrong Size
92,Damaged
99,Damaged
103,Damaged
113,Wrong Size
116,Damaged
117,Changed Mind
120,Damaged
121,Wrong Size
123,Wrong Size
125,Damaged
126,Changed Mind
133,Damaged
136,Changed Mind
140,Wrong Size
143,Wrong Size
145,Damaged
151,Wrong Size
154,Changed Mind
158,Damaged
159,Changed Mind
168,Damaged
170,Wrong Size
176,Wrong Size
177,Wrong Size
178,Damaged
181,Wrong Size
189,Changed Mind
191,Changed Mind
195,Changed Mind
197,Changed Mind
199,Damaged
202,Damaged
203,Damaged
204,Changed Mind
208,Wrong Size
210,Wrong Size
220,Wrong Size
222,Damaged
224,Damaged
229,Changed Mind
232,Changed Mind
237,Wrong Size
242,Damaged
250,Changed Mind
253,Damaged
256,Changed Mind
258,Wrong Size
259,Damaged
260,Damaged
263,Changed Mind
267,Wrong Size
268,Changed Mind
270,Wrong Size
273,Wrong Size
275,Damaged
281,Changed Mind
283,Damaged
286,Wrong Size
295,Damaged
298,Changed Mind
308,Damaged
323,Damaged
325,Wrong Size
327,Wrong Size
333,Changed Mind
339,Wrong Size
340,Wrong Size
341,Wrong Size
344,Changed Mind
355,Damaged
357,Wrong Size
361,Wrong Size
364,Wrong Size
365,Wrong Size
366,Changed Mind
369,Changed Mind
370,Damaged
371,Wrong Size
376,Damaged
378,Damaged
380,Changed Mind
383,Damaged
390,Damaged
395,Wrong Size
398,Changed Mind
405,Damaged
417,Changed Mind
418,Changed Mind
419,Changed Mind
430,Wrong Size
449,Wrong Size
457,Changed Mind
458,Damaged
464,Wrong Size
466,Changed Mind
467,Damaged
473,Wrong Size
477,Damaged
478,Damaged
487,Wrong Size
489,Changed Mind
490,Damaged
491,Wrong Size
503,Damaged
510,Damaged
515,Changed Mind
517,Changed Mind
520,Damaged
521,Changed Mind
522,Changed Mind
525,Damaged
531,Damaged
541,Changed Mind
547,Wrong Size
551,Changed Mind
557,Changed Mind
563,Damaged
564,Damaged
569,Damaged
570,Wrong Size
574,Damaged
580,Damaged
581,Changed Mind
582,Changed Mind
586,Wrong Size
591,Wrong Size
595,Wrong Size
601,Damaged
603,Damaged
605,Damaged
608,Damaged
611,Changed Mind
619,Changed Mind
625,Changed Mind
626,Wrong Size
627,Changed Mind
630,Damaged
635,Changed Mind
638,Damaged
640,Wrong Size
643,Changed Mind
644,Wrong Size
647,Changed Mind
651,Damaged
653,Damaged
656,Damaged
658,Damaged
664,Damaged
685,Changed Mind
691,Damaged
692,Damaged
697,Changed Mind
698,Wrong Size
710,Wrong Size
713,Wrong Size
715,Wrong Size
716,Wrong Size
718,Changed Mind
725,Changed Mind
726,Changed Mind
732,Wrong Size
742,Damaged
743,Changed Mind
745,Changed Mind
770,Damaged
771,Wrong Size
772,Wrong Size
775,Changed Mind
776,Changed Mind
777,Changed Mind
780,Wrong Size
788,Damaged
801,Damaged
802,Damaged
807,Wrong Size
809,Damaged
815,Wrong Size
817,Wrong Size
818,Changed Mind
819,Wrong Size
821,Wrong Size
824,Changed Mind
825,Damaged
829,Damaged
831,Changed Mind
847,Changed Mind
848,Changed Mind
849,Wrong Size
854,Wrong Size
855,Changed Mind
859,Damaged
866,Wrong Size
